CODGEO,Nb Pharmacies et parfumerie,Dynamique Entrepreneuriale,Dynamique Entrepreneuriale Service et Commerce,Synergie Médicale COMMUNE,Orientation Economique,Indice Fiscal Partiel,Score Fiscal,Indice Evasion Client,Score Evasion Client,Indice Synergie Médicale,Score Synergie Médicale,SEG Croissance POP,LIBGEO,REG,DEP,Nb Omnipraticiens BV,Nb Infirmiers Libéraux BV,Nb dentistes Libéraux BV,Nb pharmaciens Libéraux BV,Densité Médicale BV,Score équipement de santé BV,Indice Démographique,Score Démographique,Indice Ménages,Score Ménages,Population,Evolution Population,Evolution Pop %,Nb Ménages,Nb Résidences Principales,Nb propriétaire,Nb Logement,Nb Résidences Secondaires,Nb Log Vacants,Nb Occupants Résidence Principale,Nb Femme,Nb Homme,Nb Mineurs,Nb Majeurs,Nb Etudiants,Nb Entreprises Secteur Services,Nb Entreprises Secteur Commerce,Nb Entreprises Secteur Construction,Nb Entreprises Secteur Industrie,Nb Création Enteprises,Nb Création Industrielles,Nb Création Construction,Nb Création Commerces,Nb Création Services,Moyenne Revenus Fiscaux Départementaux,Moyenne Revenus Fiscaux Régionaux,Dep Moyenne Salaires Horaires,Dep Moyenne Salaires Cadre Horaires,Dep Moyenne Salaires Prof Intermédiaire Horaires,Dep Moyenne Salaires Employé Horaires,Dep Moyenne Salaires Ouvrié Horaires,Reg Moyenne Salaires Horaires,Reg Moyenne Salaires Cadre Horaires,Reg Moyenne Salaires Prof Intermédiaire Horaires,Reg Moyenne Salaires Employé Horaires,Reg Moyenne Salaires Ouvrié Horaires,Valeur ajoutée régionale,Urbanité Ruralité,Score Urbanité,Nb Atifs,Nb Actifs Salariés,Nb Actifs Non Salariés,Nb Logement Secondaire et Occasionnel,Nb Hotel,Capacité Hotel,Nb Camping,Capacité Camping,Dynamique Démographique BV,Taux étudiants,Taux Propriété,Dynamique Démographique INSEE,Capacité Fisc,Capacité Fiscale,Moyenne Revnus fiscaux,Taux Evasion Client,"Nb Education, santé, action sociale",Nb Services personnels et domestiques,"Nb Santé, action sociale",Nb Industries des biens intermédiaires,Nb de Commerce,Nb de Services aux particuliers,"Nb institution de Education, santé, action sociale, administration",PIB Régionnal,SEG Environnement Démographique Obsolète,Score Croissance Population,Score Croissance Entrepreneuriale,Score VA Région,Score PIB,Environnement Démographique,Fidélité,SYN MEDICAL,Seg Cap Fiscale,Seg Dyn Entre,DYN SetC,CP
32001,1,80,64,173,Bassins Agroalimentaire,109.67825,76.33987,124.22775,0.05311,173.86065,0.21355,en croissance démographique,Aignan,73,32,12,16,4,4,0.133422729,4,51.45221,0.0397,54.09751,0.03232,844,-21,-2,359,357,242,442,37,48,842,834,812,952,694,50,35,16,7,18,7,0,1,3,3,11408,11252,10.2,19.81,11.74,8.47,8.34,11.29585492,21.01709845,12.35181347,8.61865285,8.921243523,33631.55025,Com rurale < 2 000 m habts,0,324,230,94,37,1,8,1,46,4.Déclin par déficit naturel et migratoire,0,54,2,90,90,11330,1,6,4,8,1935,3711,1222,7638,71295,Zone rurale en déclin démographique,70.4918,0.0389,11.82517,13.13235,Bassins Agroalimentaire en croissance démographique,Pop Mobile,Forte Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,32
32002,0,16,1,60,Bassins Agroalimentaire,109.67825,76.33987,0,0,60.29849,0.06273,en croissance démographique,Ansan,73,32,8,10,7,7,0.169292658,4,3.84063,0.00296,4.97275,0.00297,63,-11,-17,33,33,28,42,5,4,63,64,60,66,58,0,1,0,0,0,0,0,0,0,0,11408,11252,10.2,19.81,11.74,8.47,8.34,11.29585492,21.01709845,12.35181347,8.61865285,8.921243523,33631.55025,Com rurale < 2 000 m habts,0,16,8,8,5,0,0,0,0,5.Déclin par déficit naturel,0,66,1,80,80,11330,0,0,0,0,1935,3711,1222,7638,71295,Zone rurale en déclin démographique,64.34426,0,11.82517,13.13235,Bassins Agroalimentaire en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,32
32003,0,18,1,148,Bassin Résidentiel,109.67825,76.33987,0,0,148.73628,0.18018,en croissance démographique,Antras,73,32,55,62,40,40,0.144485417,4,3.53582,0.00273,3.61655,0.00216,58,2,3,24,24,21,29,5,0,58,58,56,66,48,1,1,0,1,0,0,0,0,0,0,11408,11252,10.2,19.81,11.74,8.47,8.34,11.29585492,21.01709845,12.35181347,8.61865285,8.921243523,33631.55025,Com rurale < 2 000 m habts,0,23,17,6,5,0,0,0,0,4.Déclin par déficit naturel et migratoire,0,72,0,80,80,11330,0,0,0,0,1935,3711,1222,7638,71295,Zone rurale en déclin démographique,72.54098,0,11.82517,13.13235,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Forte Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,32
32004,0,18,5,73,Bassin Résidentiel,109.67825,76.33987,0,0,73.36317,0.08008,en croissance démographique,Arblade-le-Bas,73,32,23,16,11,11,0.126718069,4,6.64489,0.00513,6.17827,0.00369,109,-7,-6,41,41,36,54,8,5,109,112,98,122,88,8,2,2,0,0,0,0,0,0,0,11408,11252,10.2,19.81,11.74,8.47,8.34,11.29585492,21.01709845,12.35181347,8.61865285,8.921243523,33631.55025,Com rurale < 2 000 m habts,0,45,29,16,8,0,0,0,0,5.Déclin par déficit naturel,0,66,0,81,81,11330,0,0,0,0,1935,3711,1222,7638,71295,Zone rurale en déclin démographique,68.85246,0,11.82517,13.13235,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,32
32005,0,27,7,59,Bassins Agroalimentaire,109.67825,76.33987,0,0,59.29352,0.0614,en croissance démographique,Arblade-le-Haut,73,32,12,16,4,4,0.133422729,4,16.76464,0.01294,15.52101,0.00927,275,-6,-2,103,103,92,119,10,6,276,286,250,320,216,9,4,2,3,2,1,0,0,0,1,11408,11252,10.2,19.81,11.74,8.47,8.34,11.29585492,21.01709845,12.35181347,8.61865285,8.921243523,33631.55025,Com rurale < 2 000 m habts,0,119,83,36,10,0,0,0,0,4.Déclin par déficit naturel et migratoire,0,77,0,83,83,11330,0,1,0,0,1935,3711,1222,7638,71295,Zone rurale en déclin démographique,70.4918,0.00173,11.82517,13.13235,Bassins Agroalimentaire en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,32
32007,0,22,3,77,Bassin Résidentiel,109.67825,76.33987,0,0,77.38306,0.08542,en croissance démographique,Ardizas,73,32,14,28,12,12,0.15822997,4,7.4374,0.00574,6.63033,0.00396,122,-5,-4,44,44,36,57,6,7,122,114,126,145,95,6,2,1,2,1,0,0,0,0,0,11408,11252,10.2,19.81,11.74,8.47,8.34,11.29585492,21.01709845,12.35181347,8.61865285,8.921243523,33631.55025,Com rurale < 2 000 m habts,0,46,32,14,6,0,0,0,0,1.Accroissement par excédent naturel et migratoire,0,63,0,81,81,11330,0,0,0,0,1935,3711,1222,7638,71295,Zone rurale en croissance démographique,69.67213,0,11.82517,13.13235,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,32
32008,0,21,1,64,Bassin Résidentiel,109.67825,76.33987,0,0,64.31839,0.06807,en croissance démographique,Armentieux,73,32,16,23,5,5,0.137110292,4,4.63314,0.00358,4.2193,0.00252,76,-2,-2,28,27,22,36,7,2,75,76,72,88,60,5,1,0,1,2,1,1,0,0,0,11408,11252,10.2,19.81,11.74,8.47,8.34,11.29585492,21.01709845,12.35181347,8.61865285,8.921243523,33631.55025,Com rurale < 2 000 m habts,0,36,30,6,7,0,0,0,0,5.Déclin par déficit naturel,0,61,0,81,81,11330,0,0,0,0,1935,3711,1222,7638,71295,Zone rurale en déclin démographique,70.4918,0.00173,11.82517,13.13235,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,32
32009,0,21,3,64,Bassin Résidentiel,109.67825,76.33987,0,0,64.31839,0.06807,en croissance démographique,Armous-et-Cau,73,32,16,23,5,5,0.137110292,4,5.6695,0.00437,5.57551,0.00333,93,0,0,37,36,29,45,6,3,90,84,92,102,74,2,1,2,1,1,0,0,0,0,0,11408,11252,10.2,19.81,11.74,8.47,8.34,11.29585492,21.01709845,12.35181347,8.61865285,8.921243523,33631.55025,Com rurale < 2 000 m habts,0,36,18,18,6,0,0,0,0,5.Déclin par déficit naturel,0,64,0,81,81,11330,0,0,0,0,1935,3711,1222,7638,71295,Zone rurale en déclin démographique,71.31148,0,11.82517,13.13235,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,32
32010,0,20,2,44,Bassins Agroalimentaire,109.67825,76.33987,0,0,44.21889,0.04138,en croissance démographique,Arrouède,73,32,6,5,2,2,0.11565538,2,4.75506,0.00367,5.12344,0.00306,78,-4,-5,34,34,27,40,6,0,78,76,80,91,65,4,1,1,0,2,0,0,0,0,0,11408,11252,10.2,19.81,11.74,8.47,8.34,11.29585492,21.01709845,12.35181347,8.61865285,8.921243523,33631.55025,Com rurale < 2 000 m habts,0,17,10,7,6,0,0,0,0,5.Déclin par déficit naturel,0,67,0,80,80,11330,0,0,0,0,1935,3711,1222,7638,71295,Zone rurale en déclin démographique,69.2623,0,11.82517,13.13235,Bassins Agroalimentaire en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,32
32012,0,76,54,75,Bassins Agroalimentaire,109.67825,76.33987,0,0,75.37312,0.08275,en croissance démographique,Aubiet,73,32,8,10,7,7,0.169292658,4,61.08425,0.04713,61.48129,0.03673,1002,-20,-1,408,407,268,471,21,43,1001,984,982,1155,811,42,27,16,16,6,4,1,2,0,1,11408,11252,10.2,19.81,11.74,8.47,8.34,11.29585492,21.01709845,12.35181347,8.61865285,8.921243523,33631.55025,Com rurale < 2 000 m habts,0,429,337,92,21,0,0,0,0,5.Déclin par déficit naturel,0,56,1,93,93,11330,0,12,4,12,1935,3711,1222,7638,71295,Zone rurale en déclin démographique,70.90164,0.00692,11.82517,13.13235,Bassins Agroalimentaire en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,32
