CODGEO,Nb Pharmacies et parfumerie,Dynamique Entrepreneuriale,Dynamique Entrepreneuriale Service et Commerce,Synergie Médicale COMMUNE,Orientation Economique,Indice Fiscal Partiel,Score Fiscal,Indice Evasion Client,Score Evasion Client,Indice Synergie Médicale,Score Synergie Médicale,SEG Croissance POP,LIBGEO,REG,DEP,Nb Omnipraticiens BV,Nb Infirmiers Libéraux BV,Nb dentistes Libéraux BV,Nb pharmaciens Libéraux BV,Densité Médicale BV,Score équipement de santé BV,Indice Démographique,Score Démographique,Indice Ménages,Score Ménages,Population,Evolution Population,Evolution Pop %,Nb Ménages,Nb Résidences Principales,Nb propriétaire,Nb Logement,Nb Résidences Secondaires,Nb Log Vacants,Nb Occupants Résidence Principale,Nb Femme,Nb Homme,Nb Mineurs,Nb Majeurs,Nb Etudiants,Nb Entreprises Secteur Services,Nb Entreprises Secteur Commerce,Nb Entreprises Secteur Construction,Nb Entreprises Secteur Industrie,Nb Création Enteprises,Nb Création Industrielles,Nb Création Construction,Nb Création Commerces,Nb Création Services,Moyenne Revenus Fiscaux Départementaux,Moyenne Revenus Fiscaux Régionaux,Dep Moyenne Salaires Horaires,Dep Moyenne Salaires Cadre Horaires,Dep Moyenne Salaires Prof Intermédiaire Horaires,Dep Moyenne Salaires Employé Horaires,Dep Moyenne Salaires Ouvrié Horaires,Reg Moyenne Salaires Horaires,Reg Moyenne Salaires Cadre Horaires,Reg Moyenne Salaires Prof Intermédiaire Horaires,Reg Moyenne Salaires Employé Horaires,Reg Moyenne Salaires Ouvrié Horaires,Valeur ajoutée régionale,Urbanité Ruralité,Score Urbanité,Nb Atifs,Nb Actifs Salariés,Nb Actifs Non Salariés,Nb Logement Secondaire et Occasionnel,Nb Hotel,Capacité Hotel,Nb Camping,Capacité Camping,Dynamique Démographique BV,Taux étudiants,Taux Propriété,Dynamique Démographique INSEE,Capacité Fisc,Capacité Fiscale,Moyenne Revnus fiscaux,Taux Evasion Client,"Nb Education, santé, action sociale",Nb Services personnels et domestiques,"Nb Santé, action sociale",Nb Industries des biens intermédiaires,Nb de Commerce,Nb de Services aux particuliers,"Nb institution de Education, santé, action sociale, administration",PIB Régionnal,SEG Environnement Démographique Obsolète,Score Croissance Population,Score Croissance Entrepreneuriale,Score VA Région,Score PIB,Environnement Démographique,Fidélité,SYN MEDICAL,Seg Cap Fiscale,Seg Dyn Entre,DYN SetC,CP
68001,0,49,37,49,Bassin Industriel,116.65742,91.939,0,0,49.24377,0.04805,en croissance démographique,Algolsheim,42,68,10,6,6,6,0.075762655,3,59.80404,0.04615,51.53579,0.03079,981,34,3,342,339,249,348,3,6,932,932,984,1218,698,77,10,19,4,10,0,0,0,0,0,12258,11968,11.42,21.76,12.735,8.688333333,9.745,11.61785714,21.945,12.75928571,8.74,9.63,26472.26855,Com < 10 m habts,25,485,443,42,3,0,0,0,0,1.Accroissement par excédent naturel et migratoire,0,71,-3,94,94,12113,0,3,0,2,2752,2955,851,4856,48389,Zone rurale en croissance démographique,72.54098,0,9.05943,8.50002,Bassin Industriel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,68
68002,0,23,6,43,Bassin Industriel,116.65742,91.939,0,0,43.21392,0.04004,en croissance démographique,Altenach,42,68,9,7,5,5,0.062353336,2,20.97104,0.01618,19.28825,0.01152,344,2,0,128,127,104,140,7,6,344,350,318,406,262,25,4,1,2,3,0,0,0,0,0,12258,11968,11.42,21.76,12.735,8.688333333,9.745,11.61785714,21.945,12.75928571,8.74,9.63,26472.26855,Com rurale < 2 000 m habts,0,142,132,10,7,0,0,0,0,1.Accroissement par excédent naturel et migratoire,0,74,0,84,84,12113,0,0,0,0,2752,2955,851,4856,48389,Zone rurale en croissance démographique,71.31148,0,9.05943,8.50002,Bassin Industriel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,68
68004,1,341,526,277,Bassin Résidentiel,116.65742,91.939,124.22775,0.05311,278.37804,0.35236,en croissance démographique,Altkirch,42,68,28,24,16,16,0.091183372,3,328.28214,0.25331,328.65365,0.19633,5385,185,3,2181,2181,974,2401,26,194,5262,5376,5094,6380,4090,312,225,184,15,64,23,1,1,7,14,12258,11968,11.42,21.76,12.735,8.688333333,9.745,11.61785714,21.945,12.75928571,8.74,9.63,26472.26855,Com < 10 m habts,25,2352,2136,216,26,0,0,1,49,1.Accroissement par excédent naturel et migratoire,0,40,-19,153,153,12113,1,74,22,78,2752,2955,851,4856,48389,Zone rurale en croissance démographique,72.54098,0.1023,9.05943,8.50002,Bassin Résidentiel en croissance démographique,Pop Mobile,Forte Synergie Médicale,Fiscalité moyenne,Dynamique Economique,Bonne Dynamique Entreprise Serv et Com,68
68005,0,82,107,62,Bassin Industriel,116.65742,91.939,124.22775,0.05311,62.30844,0.0654,en croissance démographique,Ammerschwihr,42,68,9,6,4,4,0.095876634,3,115.2188,0.08891,103.97571,0.06211,1890,-4,0,690,695,465,804,74,35,1769,1886,1806,2269,1423,137,43,40,3,15,3,0,0,1,2,12258,11968,11.42,21.76,12.735,8.688333333,9.745,11.61785714,21.945,12.75928571,8.74,9.63,26472.26855,Com < 10 m habts,25,850,701,149,74,3,46,0,0,3.Accroissement par excédent migratoire,0,57,0,106,106,12113,1,10,4,12,2752,2955,851,4856,48389,Zone rurale en croissance démographique,71.31148,0.01412,9.05943,8.50002,Bassin Industriel en croissance démographique,Pop Mobile,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Dynamique Serv et Com,68
68006,0,22,8,46,Bassin Industriel,116.65742,91.939,0,0,46.22884,0.04405,en croissance démographique,Ammerzwiller,42,68,9,7,5,5,0.062353336,2,19.14217,0.01477,16.42515,0.00981,314,12,3,109,109,91,115,4,2,314,318,292,376,234,12,5,2,2,2,2,0,0,1,1,12258,11968,11.42,21.76,12.735,8.688333333,9.745,11.61785714,21.945,12.75928571,8.74,9.63,26472.26855,Com rurale < 2 000 m habts,0,150,133,17,4,0,0,0,0,1.Accroissement par excédent naturel et migratoire,0,79,-1,84,84,12113,0,0,0,0,2752,2955,851,4856,48389,Zone rurale en croissance démographique,72.54098,0.01239,9.05943,8.50002,Bassin Industriel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,68
68007,0,83,55,84,Bassin Urbain,116.65742,91.939,0,0,84.41789,0.09476,en croissance démographique,Andolsheim,42,68,12,12,6,6,1,1,121.01022,0.09337,101.41399,0.06058,1985,61,3,673,674,543,681,1,6,1985,1926,1932,2439,1419,142,30,14,19,9,10,0,2,5,3,12258,11968,11.42,21.76,12.735,8.688333333,9.745,11.61785714,21.945,12.75928571,8.74,9.63,26472.26855,Com rurale < 2 000 m habts,0,957,843,114,1,0,0,0,0,Grande Ville,0,79,-7,109,109,12113,0,4,2,3,2752,2955,851,4856,48389,Com rurale < 2 000 m habts en croissance démographique,72.54098,0.06196,9.05943,8.50002,Bassin Urbain en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,68
68008,0,20,5,64,Bassin Urbain,116.65742,91.939,0,0,64.31839,0.06807,en croissance démographique,Appenwihr,42,68,12,12,6,6,1,1,27.00631,0.02084,25.01445,0.01494,443,14,3,166,166,126,170,1,3,443,436,428,504,360,31,2,2,2,1,0,0,0,0,0,12258,11968,11.42,21.76,12.735,8.688333333,9.745,11.61785714,21.945,12.75928571,8.74,9.63,26472.26855,Com rurale < 2 000 m habts,0,233,215,18,1,0,0,0,0,Grande Ville,0,74,-1,87,87,12113,0,0,0,0,2752,2955,851,4856,48389,Com rurale < 2 000 m habts en croissance démographique,72.54098,0,9.05943,8.50002,Bassin Urbain en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,68
68009,0,24,14,41,Bassin Industriel,116.65742,91.939,0,0,41.20397,0.03737,en croissance démographique,Artzenheim,42,68,8,6,2,2,0.057324841,1,37.67472,0.02907,32.39823,0.01935,618,18,2,215,215,169,218,1,2,618,576,624,739,461,44,5,6,0,4,2,0,0,2,0,12258,11968,11.42,21.76,12.735,8.688333333,9.745,11.61785714,21.945,12.75928571,8.74,9.63,26472.26855,Com rurale < 2 000 m habts,0,316,293,23,1,0,0,0,0,1.Accroissement par excédent naturel et migratoire,0,77,-1,89,89,12113,0,0,0,0,2752,2955,851,4856,48389,Zone rurale en croissance démographique,72.13115,0.02132,9.05943,8.50002,Bassin Industriel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,68
68010,0,53,25,80,Bassin Résidentiel,116.65742,91.939,0,0,80.39799,0.08943,en croissance démographique,Aspach,42,68,28,24,16,16,0.091183372,3,59.80404,0.04615,52.89199,0.0316,981,26,2,351,351,290,365,3,11,981,938,986,1204,720,74,11,9,10,8,3,0,1,1,1,12258,11968,11.42,21.76,12.735,8.688333333,9.745,11.61785714,21.945,12.75928571,8.74,9.63,26472.26855,Com < 10 m habts,25,432,390,42,3,0,0,0,0,1.Accroissement par excédent naturel et migratoire,0,79,-2,93,93,12113,0,2,0,1,2752,2955,851,4856,48389,Zone rurale en croissance démographique,72.13115,0.01412,9.05943,8.50002,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,68
68011,0,51,31,98,Bassin Industriel,116.65742,91.939,0,0,98.48754,0.11345,en croissance démographique,Aspach-le-Bas,42,68,32,29,20,20,0.086490111,4,65.77835,0.05076,53.64544,0.03205,1079,54,5,356,356,286,359,1,2,1080,1094,978,1305,767,83,19,6,7,9,5,1,0,2,2,12258,11968,11.42,21.76,12.735,8.688333333,9.745,11.61785714,21.945,12.75928571,8.74,9.63,26472.26855,Com rurale < 2 000 m habts,0,499,456,43,1,0,0,0,0,1.Accroissement par excédent naturel et migratoire,0,79,-6,95,95,12113,0,6,1,3,2752,2955,851,4856,48389,Zone rurale en croissance démographique,73.36066,0.02651,9.05943,8.50002,Bassin Industriel en croissance démographique,Pop Sédentaire,Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,68
