CODGEO,Nb Pharmacies et parfumerie,Dynamique Entrepreneuriale,Dynamique Entrepreneuriale Service et Commerce,Synergie Médicale COMMUNE,Orientation Economique,Indice Fiscal Partiel,Score Fiscal,Indice Evasion Client,Score Evasion Client,Indice Synergie Médicale,Score Synergie Médicale,SEG Croissance POP,LIBGEO,REG,DEP,Nb Omnipraticiens BV,Nb Infirmiers Libéraux BV,Nb dentistes Libéraux BV,Nb pharmaciens Libéraux BV,Densité Médicale BV,Score équipement de santé BV,Indice Démographique,Score Démographique,Indice Ménages,Score Ménages,Population,Evolution Population,Evolution Pop %,Nb Ménages,Nb Résidences Principales,Nb propriétaire,Nb Logement,Nb Résidences Secondaires,Nb Log Vacants,Nb Occupants Résidence Principale,Nb Femme,Nb Homme,Nb Mineurs,Nb Majeurs,Nb Etudiants,Nb Entreprises Secteur Services,Nb Entreprises Secteur Commerce,Nb Entreprises Secteur Construction,Nb Entreprises Secteur Industrie,Nb Création Enteprises,Nb Création Industrielles,Nb Création Construction,Nb Création Commerces,Nb Création Services,Moyenne Revenus Fiscaux Départementaux,Moyenne Revenus Fiscaux Régionaux,Dep Moyenne Salaires Horaires,Dep Moyenne Salaires Cadre Horaires,Dep Moyenne Salaires Prof Intermédiaire Horaires,Dep Moyenne Salaires Employé Horaires,Dep Moyenne Salaires Ouvrié Horaires,Reg Moyenne Salaires Horaires,Reg Moyenne Salaires Cadre Horaires,Reg Moyenne Salaires Prof Intermédiaire Horaires,Reg Moyenne Salaires Employé Horaires,Reg Moyenne Salaires Ouvrié Horaires,Valeur ajoutée régionale,Urbanité Ruralité,Score Urbanité,Nb Atifs,Nb Actifs Salariés,Nb Actifs Non Salariés,Nb Logement Secondaire et Occasionnel,Nb Hotel,Capacité Hotel,Nb Camping,Capacité Camping,Dynamique Démographique BV,Taux étudiants,Taux Propriété,Dynamique Démographique INSEE,Capacité Fisc,Capacité Fiscale,Moyenne Revnus fiscaux,Taux Evasion Client,"Nb Education, santé, action sociale",Nb Services personnels et domestiques,"Nb Santé, action sociale",Nb Industries des biens intermédiaires,Nb de Commerce,Nb de Services aux particuliers,"Nb institution de Education, santé, action sociale, administration",PIB Régionnal,SEG Environnement Démographique Obsolète,Score Croissance Population,Score Croissance Entrepreneuriale,Score VA Région,Score PIB,Environnement Démographique,Fidélité,SYN MEDICAL,Seg Cap Fiscale,Seg Dyn Entre,DYN SetC,CP
51001,0,12,3,89,Bassin Résidentiel,97.92283,50.06536,0,0,89.44276,0.10144,en croissance démographique,Ablancourt,21,51,44,29,23,23,0.084478713,3,10.48552,0.00809,7.98654,0.00477,172,3,2,53,53,48,59,2,4,172,160,172,213,119,12,1,2,1,0,1,0,0,0,1,11536,10046,11.03214286,20.93928571,12.51071429,8.839285714,9.221428571,10.65243902,20.93170732,12.48902439,8.663414634,9.082926829,19749.43799,Com rurale < 2 000 m habts,0,61,54,7,2,0,0,0,0,6.Déclin par déficit migratoire,0,81,0,72,72,10791,0,0,0,0,2230,2004,542,3832,35310,Zone rurale en déclin démographique,72.13115,0.00173,6.46229,5.85503,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,51
51002,0,61,58,70,Bassin Urbain,97.92283,50.06536,0,0,70.34824,0.07608,en croissance démographique,Saint-Martin-d'Ablois,21,51,12,12,6,6,1,1,85.40822,0.0659,75.19403,0.04492,1401,-94,-6,499,499,415,551,16,36,1359,1382,1364,1693,1053,116,33,13,7,11,2,0,0,0,2,11536,10046,11.03214286,20.93928571,12.51071429,8.839285714,9.221428571,10.65243902,20.93170732,12.48902439,8.663414634,9.082926829,19749.43799,Com rurale < 2 000 m habts,0,669,543,126,16,0,0,0,0,Grande Ville,0,75,10,91,91,10791,0,8,3,10,2230,2004,542,3832,35310,Com rurale < 2 000 m habts en croissance démographique,68.85246,0.00346,6.46229,5.85503,Bassin Urbain en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,51
51003,0,12,7,58,Bassin Urbain,97.92283,50.06536,0,0,58.28854,0.06006,en croissance démographique,Aigny,21,51,12,12,6,6,1,1,11.52188,0.00889,10.69895,0.00639,189,5,2,71,71,64,78,2,5,189,184,186,221,149,12,5,1,0,0,0,0,0,0,0,11536,10046,11.03214286,20.93928571,12.51071429,8.839285714,9.221428571,10.65243902,20.93170732,12.48902439,8.663414634,9.082926829,19749.43799,Com rurale < 2 000 m habts,0,85,72,13,2,0,0,0,0,Grande Ville,0,82,0,73,73,10791,0,0,0,0,2230,2004,542,3832,35310,Com rurale < 2 000 m habts en croissance démographique,72.13115,0,6.46229,5.85503,Bassin Urbain en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,51
51004,0,21,6,53,Bassin diversifié,97.92283,50.06536,0,0,53.26367,0.05339,en croissance démographique,Allemanche-Launay-et-Soyer,21,51,17,9,9,9,0.085149179,4,7.13259,0.0055,6.47965,0.00387,117,2,1,43,43,33,54,6,5,104,110,114,132,92,11,1,4,1,5,0,0,0,0,0,11536,10046,11.03214286,20.93928571,12.51071429,8.839285714,9.221428571,10.65243902,20.93170732,12.48902439,8.663414634,9.082926829,19749.43799,Com rurale < 2 000 m habts,0,42,18,24,6,0,0,0,0,4.Déclin par déficit naturel et migratoire,0,61,0,71,71,10791,0,0,0,0,2230,2004,542,3832,35310,Zone rurale en déclin démographique,71.72131,0,6.46229,5.85503,Bassin diversifié en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,51
51005,0,14,3,53,Bassin diversifié,97.92283,50.06536,0,0,53.26367,0.05339,en croissance démographique,Allemant,21,51,17,9,9,9,0.085149179,4,10.24167,0.0079,10.54826,0.0063,168,-9,-5,70,70,55,89,12,7,169,170,158,192,136,9,2,1,1,1,0,0,0,0,0,11536,10046,11.03214286,20.93928571,12.51071429,8.839285714,9.221428571,10.65243902,20.93170732,12.48902439,8.663414634,9.082926829,19749.43799,Com rurale < 2 000 m habts,0,69,42,27,12,0,0,0,0,4.Déclin par déficit naturel et migratoire,0,61,1,72,72,10791,0,1,0,1,2230,2004,542,3832,35310,Zone rurale en déclin démographique,69.2623,0,6.46229,5.85503,Bassin diversifié en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,51
51006,0,14,5,89,Bassin Résidentiel,97.92283,50.06536,0,0,89.44276,0.10144,en croissance démographique,Alliancelles,21,51,44,29,23,23,0.084478713,3,8.04703,0.00621,8.43861,0.00504,132,4,3,56,56,46,66,10,0,132,120,136,156,100,9,2,2,0,2,0,0,0,0,0,11536,10046,11.03214286,20.93928571,12.51071429,8.839285714,9.221428571,10.65243902,20.93170732,12.48902439,8.663414634,9.082926829,19749.43799,Com rurale < 2 000 m habts,0,42,34,8,10,0,0,0,0,6.Déclin par déficit migratoire,0,69,0,71,71,10791,0,0,0,0,2230,2004,542,3832,35310,Zone rurale en déclin démographique,72.54098,0,6.46229,5.85503,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,51
51007,0,47,31,62,Bassin Urbain,97.92283,50.06536,0,0,62.30844,0.0654,en croissance démographique,Ambonnay,21,51,12,12,6,6,1,1,57.1217,0.04408,53.64544,0.03205,937,45,4,356,355,274,427,39,33,934,910,902,1107,705,66,11,13,7,9,1,0,0,0,1,11536,10046,11.03214286,20.93928571,12.51071429,8.839285714,9.221428571,10.65243902,20.93170732,12.48902439,8.663414634,9.082926829,19749.43799,Com rurale < 2 000 m habts,0,409,271,138,39,1,10,0,0,Grande Ville,0,64,-4,83,83,10791,0,2,1,3,2230,2004,542,3832,35310,Com rurale < 2 000 m habts en croissance démographique,72.95082,0.00173,6.46229,5.85503,Bassin Urbain en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,51
51008,0,11,5,59,Bassin Urbain,97.92283,50.06536,0,0,59.29352,0.0614,en croissance démographique,Ambrières,21,51,12,12,6,6,1,1,13.65556,0.01054,12.8086,0.00765,224,11,5,85,85,73,96,8,3,224,208,228,273,163,14,3,1,0,0,2,0,1,0,1,11536,10046,11.03214286,20.93928571,12.51071429,8.839285714,9.221428571,10.65243902,20.93170732,12.48902439,8.663414634,9.082926829,19749.43799,Com rurale < 2 000 m habts,0,105,88,17,8,0,0,0,0,Grande Ville,0,76,-1,73,73,10791,0,0,0,1,2230,2004,542,3832,35310,Com rurale < 2 000 m habts en croissance démographique,73.36066,0.00346,6.46229,5.85503,Bassin Urbain en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,51
51009,0,62,57,67,Bassin Résidentiel,97.92283,50.06536,0,0,67.33332,0.07207,en croissance démographique,Anglure,21,51,26,14,12,12,0.062018103,3,52.61049,0.0406,52.28923,0.03124,863,8,0,347,346,244,411,23,42,854,836,844,1019,661,65,27,18,9,9,3,0,0,0,3,11536,10046,11.03214286,20.93928571,12.51071429,8.839285714,9.221428571,10.65243902,20.93170732,12.48902439,8.663414634,9.082926829,19749.43799,Com rurale < 2 000 m habts,0,353,300,53,23,0,0,0,0,4.Déclin par déficit naturel et migratoire,0,59,0,81,81,10791,0,4,2,6,2230,2004,542,3832,35310,Zone rurale en déclin démographique,71.31148,0.00519,6.46229,5.85503,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,51
51010,0,16,2,53,Bassin diversifié,97.92283,50.06536,0,0,53.26367,0.05339,en croissance démographique,Angluzelles-et-Courcelles,21,51,17,9,9,9,0.085149179,4,8.65665,0.00668,8.28792,0.00495,142,-4,-2,55,55,42,77,9,13,143,134,136,161,109,9,1,1,0,4,1,0,0,0,1,11536,10046,11.03214286,20.93928571,12.51071429,8.839285714,9.221428571,10.65243902,20.93170732,12.48902439,8.663414634,9.082926829,19749.43799,Com rurale < 2 000 m habts,0,51,33,18,9,0,0,0,0,4.Déclin par déficit naturel et migratoire,0,54,0,72,72,10791,0,0,0,0,2230,2004,542,3832,35310,Zone rurale en déclin démographique,70.4918,0.00173,6.46229,5.85503,Bassin diversifié en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,51
