CODGEO,Nb Pharmacies et parfumerie,Dynamique Entrepreneuriale,Dynamique Entrepreneuriale Service et Commerce,Synergie Médicale COMMUNE,Orientation Economique,Indice Fiscal Partiel,Score Fiscal,Indice Evasion Client,Score Evasion Client,Indice Synergie Médicale,Score Synergie Médicale,SEG Croissance POP,LIBGEO,REG,DEP,Nb Omnipraticiens BV,Nb Infirmiers Libéraux BV,Nb dentistes Libéraux BV,Nb pharmaciens Libéraux BV,Densité Médicale BV,Score équipement de santé BV,Indice Démographique,Score Démographique,Indice Ménages,Score Ménages,Population,Evolution Population,Evolution Pop %,Nb Ménages,Nb Résidences Principales,Nb propriétaire,Nb Logement,Nb Résidences Secondaires,Nb Log Vacants,Nb Occupants Résidence Principale,Nb Femme,Nb Homme,Nb Mineurs,Nb Majeurs,Nb Etudiants,Nb Entreprises Secteur Services,Nb Entreprises Secteur Commerce,Nb Entreprises Secteur Construction,Nb Entreprises Secteur Industrie,Nb Création Enteprises,Nb Création Industrielles,Nb Création Construction,Nb Création Commerces,Nb Création Services,Moyenne Revenus Fiscaux Départementaux,Moyenne Revenus Fiscaux Régionaux,Dep Moyenne Salaires Horaires,Dep Moyenne Salaires Cadre Horaires,Dep Moyenne Salaires Prof Intermédiaire Horaires,Dep Moyenne Salaires Employé Horaires,Dep Moyenne Salaires Ouvrié Horaires,Reg Moyenne Salaires Horaires,Reg Moyenne Salaires Cadre Horaires,Reg Moyenne Salaires Prof Intermédiaire Horaires,Reg Moyenne Salaires Employé Horaires,Reg Moyenne Salaires Ouvrié Horaires,Valeur ajoutée régionale,Urbanité Ruralité,Score Urbanité,Nb Atifs,Nb Actifs Salariés,Nb Actifs Non Salariés,Nb Logement Secondaire et Occasionnel,Nb Hotel,Capacité Hotel,Nb Camping,Capacité Camping,Dynamique Démographique BV,Taux étudiants,Taux Propriété,Dynamique Démographique INSEE,Capacité Fisc,Capacité Fiscale,Moyenne Revnus fiscaux,Taux Evasion Client,"Nb Education, santé, action sociale",Nb Services personnels et domestiques,"Nb Santé, action sociale",Nb Industries des biens intermédiaires,Nb de Commerce,Nb de Services aux particuliers,"Nb institution de Education, santé, action sociale, administration",PIB Régionnal,SEG Environnement Démographique Obsolète,Score Croissance Population,Score Croissance Entrepreneuriale,Score VA Région,Score PIB,Environnement Démographique,Fidélité,SYN MEDICAL,Seg Cap Fiscale,Seg Dyn Entre,DYN SetC,CP
84001,0,141,105,126,Bassin Urbain,90.28084,32.98475,0,0,126.62683,0.15082,en croissance démographique,Althen-des-Paluds,93,84,12,12,6,6,1,1,120.58349,0.09305,108.64708,0.0649,1978,78,3,721,716,527,752,7,29,1988,1882,1946,2333,1495,140,47,35,19,24,13,1,3,5,4,9123,9262,11.082,21.172,12.58,8.528,9.054,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,Com > 200 m habts,87.5,804,660,144,7,1,28,0,0,Grande Ville,0,70,-7,113,113,9192.5,0,21,1,19,2892,7609,3241,14267,130177,Com > 200 m habts en croissance démographique,72.54098,0.06714,23.05911,25.04019,Bassin Urbain en croissance démographique,Pop Sédentaire,Forte Synergie Médicale,Fiscalité moyenne,Dynamique Economique,Dynamique Serv et Com,84
84002,0,93,51,163,Bassin Résidentiel,90.28084,32.98475,0,0,163.8109,0.20021,en croissance démographique,Ansouis,93,84,46,65,24,24,0.146161582,4,63.15697,0.04873,59.8237,0.03574,1036,43,4,397,396,257,525,84,45,1032,1046,970,1252,764,81,22,18,13,13,6,0,0,3,3,9123,9262,11.082,21.172,12.58,8.528,9.054,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,Com rurale < 2 000 m habts,0,402,304,98,84,0,0,0,0,1.Accroissement par excédent naturel et migratoire,0,48,-5,100,100,9192.5,0,8,1,5,2892,7609,3241,14267,130177,Zone rurale en croissance démographique,72.95082,0.03717,23.05911,25.04019,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Forte Synergie Médicale,Fiscalité moyenne,Moyenne dynamique,Faible Dynamique Serv et Com,84
84003,1,906,1061,428,Bassin Résidentiel,90.28084,32.98475,1118.04972,0.47796,430.12924,0.5539,en croissance démographique,Apt,93,84,32,34,18,18,0.124036205,4,680.33959,0.52497,724.21341,0.43262,11160,412,3,4806,4784,1982,5774,343,647,10990,11430,10278,13116,8592,685,387,433,119,162,98,3,23,24,48,9123,9262,11.082,21.172,12.58,8.528,9.054,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,Com < 50 m habts,37.5,3594,3041,553,343,7,182,2,188,2.Accroissement par excédent naturel,0,34,-40,200,200,9192.5,9,119,33,138,2892,7609,3241,14267,130177,Zone rurale en croissance démographique,72.54098,0.38385,23.05911,25.04019,Bassin Résidentiel en croissance démographique,Pop Mobile,Forte Synergie Médicale,Fiscalité moyenne,Dynamique Economique,Bonne Dynamique Entreprise Serv et Com,84
84004,0,258,167,155,Bassin Urbain,90.28084,32.98475,248.45549,0.10621,155.7711,0.18953,en croissance démographique,Aubignan,93,84,12,12,6,6,1,1,234.03438,0.18059,211.11589,0.12611,3839,73,1,1401,1402,952,1582,84,96,3741,3784,3666,4605,2845,263,66,64,56,39,26,4,5,9,8,9123,9262,11.082,21.172,12.58,8.528,9.054,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,Com > 200 m habts,87.5,1453,1207,246,84,0,0,1,170,Grande Ville,0,60,-4,133,133,9192.5,2,21,11,18,2892,7609,3241,14267,130177,Com > 200 m habts en croissance démographique,71.72131,0.12536,23.05911,25.04019,Bassin Urbain en croissance démographique,Pop Mobile,Forte Synergie Médicale,Fiscalité moyenne,Dynamique Economique,Bonne Dynamique Entreprise Serv et Com,84
84005,0,40,9,76,Bassin Résidentiel,90.28084,32.98475,0,0,76.37809,0.08409,en croissance démographique,Aurel,93,84,4,5,1,1,0.178008716,4,9.51012,0.00734,10.54826,0.0063,156,0,0,70,70,49,175,88,17,156,162,146,184,124,6,3,4,2,2,1,0,1,0,0,9123,9262,11.082,21.172,12.58,8.528,9.054,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,Com rurale < 2 000 m habts,0,50,30,20,88,1,10,0,0,5.Déclin par déficit naturel,0,28,0,89,89,9192.5,0,0,0,0,2892,7609,3241,14267,130177,Zone rurale en déclin démographique,71.31148,0.00173,23.05911,25.04019,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Faible Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,84
84006,0,33,7,123,Bassin Résidentiel,90.28084,32.98475,0,0,123.61191,0.14682,en croissance démographique,Auribeau,93,84,32,34,18,18,0.124036205,4,3.59678,0.00278,4.82206,0.00288,59,1,2,32,32,19,56,21,3,59,64,50,62,52,1,5,1,0,0,0,0,0,0,0,9123,9262,11.082,21.172,12.58,8.528,9.054,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,Com rurale < 2 000 m habts,0,8,5,3,21,0,0,0,0,2.Accroissement par excédent naturel,0,33,0,88,88,9192.5,0,0,0,0,2892,7609,3241,14267,130177,Zone rurale en croissance démographique,72.13115,0,23.05911,25.04019,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Forte Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,84
84007,4,6217,8940,2163,Bassin Urbain,90.28084,32.98475,8199.0313,3.50505,2173.76064,2.86961,en croissance démographique,Avignon,93,84,12,12,6,6,1,1,5238.91965,4.04248,5774.26834,3.44933,85937,3962,4,38319,38286,13525,44051,809,4956,83508,89750,77410,101119,66041,7762,3704,3238,631,1012,853,43,156,210,444,9123,9262,11.082,21.172,12.58,8.528,9.054,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,Com > 200 m habts,87.5,28103,25086,3017,809,50,2290,4,862,Grande Ville,4,30,-418,-2894,-2894,9192.5,66,1005,254,1050,2892,7609,3241,14267,130177,Com > 200 m habts en croissance démographique,72.95082,3.35092,23.05911,25.04019,Bassin Urbain en croissance démographique,Pop Mobile,Forte Synergie Médicale,Fiscalité moyenne,Dynamique Economique,Bonne Dynamique Entreprise Serv et Com,84
84008,0,73,50,106,Bassin Urbain,90.28084,32.98475,124.22775,0.05311,106.52734,0.12413,en croissance démographique,Le Barroux,93,84,12,12,6,6,1,1,34.50468,0.02662,30.89133,0.01845,566,-6,-1,205,205,151,347,117,25,481,520,588,649,459,19,16,23,7,7,6,1,0,2,3,9123,9262,11.082,21.172,12.58,8.528,9.054,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,Com rurale < 2 000 m habts,0,273,215,58,117,2,37,0,0,Grande Ville,0,43,0,96,96,9192.5,1,0,1,0,2892,7609,3241,14267,130177,Com rurale < 2 000 m habts en croissance démographique,70.90164,0.02824,23.05911,25.04019,Bassin Urbain en croissance démographique,Pop Mobile,Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,84
84009,0,104,52,168,Bassin Résidentiel,90.28084,32.98475,0,0,168.83578,0.20688,en croissance démographique,La Bastide-des-Jourdans,93,84,46,65,24,24,0.146161582,4,58.76769,0.04535,60.87853,0.03637,964,12,1,404,409,267,611,162,40,964,972,914,1130,756,63,20,21,19,12,8,1,0,4,3,9123,9262,11.082,21.172,12.58,8.528,9.054,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,Com rurale < 2 000 m habts,0,317,233,84,162,1,8,0,0,1.Accroissement par excédent naturel et migratoire,0,43,-1,97,97,9192.5,0,4,2,5,2892,7609,3241,14267,130177,Zone rurale en croissance démographique,71.72131,0.04957,23.05911,25.04019,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Forte Synergie Médicale,Fiscalité moyenne,Moyenne dynamique,Faible Dynamique Serv et Com,84
84010,0,65,25,150,Bassin Résidentiel,90.28084,32.98475,0,0,150.74623,0.18285,en croissance démographique,La Bastidonne,93,84,46,65,24,24,0.146161582,4,41.14957,0.03175,36.91891,0.02205,675,18,2,245,245,176,309,51,13,667,638,682,830,490,49,17,3,5,11,6,0,1,0,5,9123,9262,11.082,21.172,12.58,8.528,9.054,11.81486486,21.83513514,12.77331081,8.660472973,9.207094595,62711.26377,Com rurale < 2 000 m habts,0,261,203,58,51,0,0,0,0,1.Accroissement par excédent naturel et migratoire,0,56,-1,96,96,9192.5,0,1,0,1,2892,7609,3241,14267,130177,Zone rurale en croissance démographique,72.13115,0.01037,23.05911,25.04019,Bassin Résidentiel en croissance démographique,Pop Sédentaire,Forte Synergie Médicale,Fiscalité moyenne,Faible dynamique,Faible Dynamique Serv et Com,84
